30.01.2024 10:39 
Файл lab.log відкрито 
Оновлений час: 30.01.2024 10:39 

Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      3 132 K
Registry                       180 Services                   0     61 516 K
smss.exe                       708 Services                   0      1 256 K
csrss.exe                     1148 Services                   0      6 212 K
wininit.exe                   1244 Services                   0      7 460 K
csrss.exe                     1252 Console                    1      6 980 K
services.exe                  1316 Services                   0     17 736 K
lsass.exe                     1348 Services                   0     31 736 K
winlogon.exe                  1400 Console                    1     12 788 K
svchost.exe                   1536 Services                   0     34 692 K
fontdrvhost.exe               1572 Services                   0      3 996 K
fontdrvhost.exe               1580 Console                    1     24 024 K
WUDFHost.exe                  1616 Services                   0      6 468 K
svchost.exe                   1716 Services                   0     21 744 K
svchost.exe                   1764 Services                   0      9 564 K
WUDFHost.exe                  1800 Services                   0      6 428 K
dwm.exe                       1908 Console                    1    161 436 K
svchost.exe                   2008 Services                   0      9 552 K
svchost.exe                   2016 Services                   0     14 156 K
svchost.exe                   2028 Services                   0     14 284 K
svchost.exe                   1896 Services                   0     11 076 K
svchost.exe                   2052 Services                   0     10 848 K
svchost.exe                   2060 Services                   0      9 984 K
svchost.exe                   2068 Services                   0     11 660 K
svchost.exe                   2100 Services                   0     17 952 K
svchost.exe                   2256 Services                   0     18 448 K
svchost.exe                   2324 Services                   0     10 644 K
svchost.exe                   2332 Services                   0     13 864 K
svchost.exe                   2384 Services                   0      6 104 K
svchost.exe                   2584 Services                   0      6 996 K
svchost.exe                   2832 Services                   0     13 428 K
svchost.exe                   2880 Services                   0     14 708 K
svchost.exe                   2992 Services                   0      8 428 K
svchost.exe                   3000 Services                   0     10 356 K
svchost.exe                   3004 Services                   0      8 240 K
NVDisplay.Container.exe       3044 Services                   0     47 672 K
svchost.exe                   3144 Services                   0     23 916 K
amdfendrsr.exe                3152 Services                   0      7 264 K
atiesrxx.exe                  3164 Services                   0      6 740 K
svchost.exe                   3200 Services                   0     12 072 K
svchost.exe                   3268 Services                   0      6 968 K
svchost.exe                   3460 Services                   0     23 944 K
NVDisplay.Container.exe       3556 Console                    1     68 076 K
svchost.exe                   3588 Services                   0     27 896 K
svchost.exe                   3652 Services                   0      8 240 K
WmiPrvSE.exe                  3876 Services                   0     36 464 K
WmiPrvSE.exe                  4032 Services                   0     46 760 K
svchost.exe                   3496 Services                   0     31 488 K
svchost.exe                   4180 Services                   0     18 664 K
svchost.exe                   4300 Services                   0      8 748 K
svchost.exe                   4336 Services                   0      8 104 K
dasHost.exe                   4424 Services                   0      6 040 K
svchost.exe                   4480 Services                   0      6 120 K
svchost.exe                   4488 Services                   0     10 120 K
atieclxx.exe                  4500 Console                    1      8 692 K
svchost.exe                   4560 Services                   0     10 244 K
svchost.exe                   4568 Services                   0     19 844 K
svchost.exe                   4604 Services                   0      9 916 K
sihost.exe                    4712 Console                    1     45 404 K
svchost.exe                   4748 Console                    1      8 976 K
svchost.exe                   4756 Console                    1     29 892 K
svchost.exe                   4796 Console                    1      8 772 K
svchost.exe                   4860 Console                    1     42 480 K
taskhostw.exe                 5052 Console                    1     19 404 K
svchost.exe                   5112 Services                   0     16 680 K
LenovoVantageService.exe      3576 Services                   0    111 616 K
Lenovo.Modern.ImControlle     4100 Services                   0     73 488 K
svchost.exe                   4616 Services                   0     22 072 K
svchost.exe                   1328 Services                   0     17 128 K
svchost.exe                   5124 Services                   0      7 424 K
svchost.exe                   5408 Services                   0     10 836 K
svchost.exe                   5428 Services                   0     11 100 K
svchost.exe                   5552 Services                   0     20 696 K
svchost.exe                   5584 Services                   0     11 688 K
svchost.exe                   5856 Services                   0     21 684 K
svchost.exe                   5952 Services                   0     12 660 K
spoolsv.exe                   6040 Services                   0     18 388 K
explorer.exe                  6112 Console                    1    562 724 K
svchost.exe                   5716 Services                   0      8 448 K
svchost.exe                   6256 Services                   0      6 240 K
AppleMobileDeviceService.     6268 Services                   0     14 276 K
svchost.exe                   6276 Services                   0     58 092 K
svchost.exe                   6284 Services                   0     17 344 K
